"id","location_id/display_name","product_id/default_code","product_id/name","product_id/categ_id/name","quantity","reserved_quantity"
"__export__.stock_quant_356239_e8665a5e","SS/Stock/Market","AMP-X681","Тумблер MTS-102","Saleable","25.0","0.0"
"__export__.stock_quant_356248_ec436673","M-Pla/Stock","RC0603FR-0710KL","Резистор 10K 1% SMD 0603 RC0603FR-0710KL (CRCW060310K0FKEA, 1622829-1)","Fix Costs","7.0","0.0"
"__export__.stock_quant_356249_3165af36","M-Pla/Stock","BLM21AG102SN1D","BLM21AG102SN1D (GBK201209T-102Y-N)","Materials","15.0","0.0"
"__export__.stock_quant_356254_b37b85c3","OF/Support","1PK-501A","Бокорезы","Saleable","1.0","0.0"
"__export__.stock_quant_356255_9422a33f","OF/Support","1PK-125T","Пинцет антимагнитный","Saleable","1.0","0.0"
"__export__.stock_quant_356353_bf7f1da9","PS/Manufacturing","BLS-1","BLS-1","Materials","5011.0","0.0"
"__export__.stock_quant_356393_a3a215ba","PS/Prepair","RAW-P003-DE","Наклейка на коробку «Робожук» DE","Materials Kits","949.0","0.0"
"__export__.stock_quant_356727_72b919ac","SS/Stock/Market","AMP-B069","Troyka Pad 1×1 (Troyka-модуль)","Saleable","8.0","0.0"
"__export__.stock_quant_356778_fcae4a25","PS/Prepair","AMP-X483","Корпус для Raspberry Pi 4 (LT-4B01 / алюминий / серебристый)","Saleable","20.0","0.0"
"__export__.stock_quant_356874_c826267a","PS/Prepair","AMP-X009-Y4","Светодиоды  жёлтые 5 мм (4 шт.)","Saleable","2173.0","100.0"
"__export__.stock_quant_356875_1dc0fa79","PS/Prepair","AMP-CE220U-10","Конденсаторы электролитические 220 мкФ (10 шт.)","Saleable","880.0","130.0"
"__export__.stock_quant_356885_8b3433c1","PS/Manufacturing","MQ-8","MQ-8 датчик газа","Materials","125.0","0.0"
"__export__.stock_quant_356886_6e98ef3e","PS/Manufacturing","DHT11","DHT11 датчик температуры и влажности","Materials","15.0","0.0"
"__export__.stock_quant_356893_92705a5a","PS/Manufacturing","NFC-ANT-A6_PCB","NFC-ANT-A6_PCB","PCB","186.0","0.0"
"__export__.stock_quant_356896_c67bbc25","PS/Manufacturing","SH_MULTISERVO2_A1_PCB","SH_MULTISERVO2_A1.PCB","PCB","4.0","0.0"
"__export__.stock_quant_357499_0fea248a","PS/Kits","AMP-X343","Транзистор BD135 (4 шт.)","Materials Kits","378.0","0.0"
"__export__.stock_quant_357513_0e92e961","AMPRU/Stock","OMV-005","Плата расширения OpenMV WiFi Shield","Saleable","11.0","0.0"
"__export__.stock_quant_357517_1a833832","AMPRU/Stock","AMP-B016","Макетная плата Perfboard (460 точек)","Saleable","22.0","0.0"
"__export__.stock_quant_357555_aff34d6a","PS/Prepair","RAW-P033","Ложемент Матрёшка","Materials Kits","800.0","0.0"
"__export__.stock_quant_357557_9efb4bb1","PS/Prepair","AMP-X191-DE","Буклет «Микроник» DE","Materials Kits","348.0","0.0"
"__export__.stock_quant_357559_f11e2453","PS/Prepair","AMP-X344-DE","Книга Робожук DE","Materials Kits","449.0","0.0"
"__export__.stock_quant_357564_696172f7","MRPL/Stock","AMP-E041","Raspberry Pi PoE HAT","Saleable","1.0","0.0"
"__export__.stock_quant_357565_5cfeec38","MRPL/Stock","AMP-E042","Raspberry Pi PoE+ HAT","Saleable","1.0","0.0"
"__export__.stock_quant_358217_f58c5acb","WSSpb/Stock","AMP-V12824","Цветной сенсорный HDMI-дисплей для Raspberry Pi 480×320 / 3,5”","Saleable","2.0","0.0"
"__export__.stock_quant_358222_b37cbe1a","WSSpb/Stock","AMP-X129","Инфракрасный дальномер Sharp GP2Y0A021 (10–80 см)","Saleable","1.0","0.0"
"__export__.stock_quant_358402_18d4712a","AMPRU/Stock","AMP-S024","Йодо","Saleable","39.0","15.0"
"__export__.stock_quant_358647_b6b62e02","OF/Stock","AMP-B020","Strela","Saleable","1.0","0.0"
"__export__.stock_quant_358651_9aa83cb3","OF/Stock","AMP-B064","Приёмопередатчик RS-485 (Troyka-модуль)","Saleable","1.0","0.0"
"__export__.stock_quant_358654_33ff64d7","OF/Stock","AMP-B091","Датчик вибрации (Troyka-модуль)","Saleable","1.0","0.0"
"__export__.stock_quant_358656_1fe42271","OF/Stock","AMP-B112","Сборка силовых ключей P-FET (Zelo-модуль)","Saleable","4.0","0.0"
"__export__.stock_quant_358657_8048983b","OF/Stock","AMP-B113","Сборка силовых ключей N-FET (Zelo-модуль)","Saleable","2.0","0.0"
"__export__.stock_quant_358702_a75c9890","AMPRU/Stock","AMP-B050","Датчик широкого спектра газов MQ-2 (Troyka-модуль)","Saleable","28.0","14.0"
"__export__.stock_quant_359547_d1c56687","SS/Output","AMP-X129","Инфракрасный дальномер Sharp GP2Y0A021 (10–80 см)","Saleable","4.0","0.0"
"__export__.stock_quant_359625_a5ebe726","SS/Stock/Market","AMP-X299","Текстовый дисплей 16×2 / зелёный с чёрным / I²C","Saleable","1.0","0.0"
"__export__.stock_quant_360056_55886663","AMPRU/Stock","AMP-X329","Cветодиодная RGB матрица 64×32","Saleable","1.0","1.0"
"__export__.stock_quant_360241_60cabb4d","PS/Prepair","AMP-M007","Нейлоновые винты М3×8 (4 шт.)","Saleable","988.25","0.0"
